Source,Relationship,Target
guide,use,tool_technique_process
guide,use,project
guide,operate,signifi
area,provide,information_signifi
area,guide,edition
area,include,purpose
process,implement,chapter
process,describe,chapter_address
process,apply,asset
process,operate,conclusion
process,perform,task
process,analyzed,analysis
process,use,project
process,use,know_advance_risk
process,determine,risk
process,determine,success
process,describe,section
success_factors,project,purpose_practice
success_factors,project,risk_management_figure
success_factors,project,process
success_factors,perform,risk_analysis_process
success_factors,monitor,monitor_control_risks
risk_management,provide,stakeholder
risk_management,provide,decision
risk_management,recognize,practice_project_time
risk_management,apply,project
risk_management,add,process
risk_management,provide,basis
risk_management,recognize,business_challenge
risk_management,conduct,basis
textbook,handbook,standard
material,include,process
risk_analysis,perform,risk
risk_analysis,apply,list_risk
risk_analysis,use,method
risk_analysis,perform,risk_analysis_process
risk_analysis,provide,information
standard,emphasize,reason
project,carry,context_refl_ecte
project,establish,contingency_reserve_level
project,ensure,degree
project,require,management_support_attention
project,proceed,frequency_effort
project,ensure,test
project,resolve,resource
organization,compare,principle
organization,ignore,figure
organization,require,analysis
organization,assess,project_objective
organization,make,estimate
organization,identify,effect
orientation,require,consideration_event
management,apply,project
management,agree,discussion
way,become,part
aspect,manage,project
duration,provide,path
risk,recognize,result
risk,emerge,response
risk,reduce,term
risk,require,approval_response
risk,use,nition_project_risk
risk,require,risk_management_process
risk,use,technique
risk,consider,effect
risk,register,decision
risk,identify,risks_process
risk,include,information
risk,include,project_risk_management
risk,assess,priority
risk,require,term_response
risk,ask,decision_point_view
risk,assess,priority_risk_impact
risk,prioritize,risk_view
risk,contribute,project_risk_estimate
risk,threaten,tolerance_stakeholder_objective
risk,remain,response
risk,set,set_response
risk,entail,approach
risk,perform,information
risk,need,project_plan
risk,occur,information_event
risk,require,diagram
risk,project,team_member_opportunity
risk,include,condition
risk,include,stipulation
risk,lead,risk_response_strategy
risk,change,interpretation
risk,reduce,range_uncertainty_fi
risk,effort,expertise
risk,occur,assess
risk,affect,effect_risk
time,cost,project
time,cost,risk
time,cost,money
time,use,figure
optimize_plan,develop,project_plan
threat,reduce,project
threat,pose,project
threat,opportunitie,risk_response_plan
threat,continue,table_d
threat,identify,project_risk_technique
role,provide,project
role,provide,option_change
conduct,recognize,business_challenge
workforce,spread,plan
personnel,establish,communication_consultation_stakeholder
commitment,conduct,basis
commitment,take,decision
commitment,take,risk_management
value,add,outcome
value,use,insignifi
background,determine,decision
review,determine,decision
review,update,risk_management
review,use,risk_breakdown_structure
review,provide,project
review,expose,relevance
discipline,provide,stakeholder
discipline,identify,area
responsibility,open,communication
responsibility,deliver,project
introduction_chapter,introduce,idea
effect,call,impact
consequence,defi,nition_risk
nition_project_risk,encompas,event
event_circumstance,exist,exist_future
event_condition,affect,risk
event_condition,occur,risk
event_condition,occur,project
event_condition,lead,change_strength
event_condition,occur,effect
risk_effect_chain,use,description
cease,become,threat
risk_assist_determine,apply,project
risk_assist_determine,apply,focus
project_risk,represent,project
project_risk,affect,project
project_risk,accept,risk
project_risk,prioritize,risk_base
project_risk,increase,importance
project_risk,increase,project_use
project_risk,answer,project
project_risk,use,method
project_risk,derive,risk
project_risk,take,assumption
project_risk,set,project_planning_cycle
project_risk,represent,risk_project
project_risk,describe,effect
project_stakeholder,set,project_priority_judge
project_stakeholder,gain,agreement_technique_use
project_stakeholder,use,risk
project_stakeholder,accept,analyze
project_stakeholder,put,nition
project_stakeholder,exert,project_risk_management
outcome,express,project
stakeholder,differ,group_stakeholder
stakeholder,view,level_risk
stakeholder,infl,number_factor
stakeholder,refl,manager
stakeholder,express,term
stakeholder,express,effect_project
plan,adjust,circumstance_change_signifi
plan,describe,risk_management_process
plan,describe,frequency
plan,develop,address
plan,evaluate,order
plan,need,focusse_response_validate
project_risk_management,include,part_project_process
project_risk_management,take,account
project_risk_management,take,impact
project_risk_management,describe,order
project_risk_management,collect,quality_information_risks
project_risk_management,approve,action
project_risk_management,avoid,threat
project_risk_management,include,information
project_risk_management,keep,describe
project_risk_management,expand,exposure_consensus_standard
project_risk_management,develop,example
project_risk_management,include,process
project_cid,oversee,cid
environment,use,estimate
meeting,understand,assess_manage
meeting,understand,view
meeting,verify,risk
impact,propose,scope_change_planning
impact,likelihood,risk_probability
action,perform,view_risk
action,implement,choose_strategy_action
action,take,action_decision
action,take,responsibility
action,project,change
action,carry,part_project_schedule
action,taken,address_risk
step,require,detail
resource_methodology_process,use,frequency
risk_management_process,start,initiation_step
risk_management_process,repeat,interval
risk_management_process,develop,strategy_project
risk_management_process,form,part
risk_management_process,apply,project
risk_management_process,depend,project_risk_management
risk_management_process,depend,event
risk_management_process,carry,analysis
risk_management_process,consolidate,risk
risk_management_process,use,list_follow_table
provide,require,follow_defi
scale_project,defi,document
iterative_repeat,identify,risk
iterative_repeat,identify,risks_process_fi
range_project_stakeholder,identify,risk
document,identify,risk_record
owner,manage,risk_management_process
owner,assign,person
owner,choose,team
loop,indicate,degree
risk_face_project,result,analysis_use
contingency_reserve_level,document,technique
risk_response,develop,process
risk_response,build,aim
risk_response,carry,manner
risk_response,give,technique_strengths
set_response,develop,strategy
effectiveness,identify,risk
risk_response_action,taken,document
outline,form,detail
risk_process,integrate,project_management
risk_process,include,bias_cause
risk_analysis_chapter,evaluate,risk
risk_analysis_chapter,perform,risk_analysis
risk_management_activity,integrate,risk_management_plan
risk_management_activity,establish,order
risk_management_activity,establish,defend_correspond_expenditure
risk_management_activity,establish,risk
risk_management_activity,need,repeat
risk_management_activity,integrate,project_management_plan
risk_management_activity,build,skill_experience
risk_management_activity,provide,information
need_project_stakeholder,become,change
